City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
534,Kerema,PG,75.72,Broken Clouds,-7.9631,145.7785,Frena Lodge
542,Dhidhdhoo,MV,81.66,Overcast Clouds,6.8833,73.1,Dhidhoo beach
543,Sai Buri,TH,77.09,Light Rain,6.7013,101.6168,ร้าน​ เวดดิ้ง
547,Pemangkat,ID,76.24,Overcast Clouds,1.1667,108.9667,Ramah Kost KITA
548,Grand Gaube,MU,81.0,Broken Clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
554,San Ignacio,BZ,80.74,Few Clouds,17.1561,-89.0714,Rainforest Haven Inn
569,Trairi,BR,84.45,Overcast Clouds,-3.2778,-39.2689,janelas do mar
571,Lumphat,KH,76.17,Broken Clouds,13.4878,106.9816,Lumphat Homestay
572,Lima,PE,75.13,Clear Sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
574,Maxixe,MZ,78.13,Scattered Clouds,-23.8597,35.3472,Oceano
575,Gambiran,ID,75.0,Light Rain,-6.7988,111.4951,GUBUK KU
584,Oranjestad,AW,82.35,Scattered Clouds,12.524,-70.027,Divi Village Golf & Beach Resort
585,Ilabaya,PE,77.52,Broken Clouds,-17.4208,-70.5133,
586,Waingapu,ID,77.02,Overcast Clouds,-9.6567,120.2641,Pondok Wisata Elim
591,Kokopo,PG,76.17,Light Rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
593,Kualakapuas,ID,77.16,Overcast Clouds,-3.0091,114.3876,Guest House Izonk
596,Namatanai,PG,78.06,Light Rain,-3.6667,152.4333,Seagulls Inn Namatani
607,Serra,BR,78.26,Thunderstorm,-20.1286,-40.3078,Interior do Estado do Espirito Santo
610,Kavaratti,IN,80.83,Clear Sky,10.5669,72.642,Hotels in Lakshadweep Islands
613,Richards Bay,ZA,76.71,Clear Sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
617,Yulara,AU,75.04,Clear Sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
618,Mangaratiba,BR,81.73,Broken Clouds,-22.9597,-44.0406,Portobello Resort & Safari
621,Eyl,SO,76.17,Broken Clouds,7.9803,49.8164,Amiin Hotel
623,Pitimbu,BR,88.39,Broken Clouds,-7.4706,-34.8086,Reserva do Abiaí
630,El Tigre,VE,88.54,Broken Clouds,8.8875,-64.2454,Hotel Santa Cruz
635,Puerto Madryn,AR,76.12,Overcast Clouds,-42.7692,-65.0385,Hotel Tolosa
641,Sao Raimundo Nonato,BR,89.55,Scattered Clouds,-9.0153,-42.6994,Real Hotel
645,Tiarei,PF,77.02,Overcast Clouds,-17.5333,-149.3333,Le Rocher de Tahiti
651,Mapiri,BO,85.23,Overcast Clouds,-15.25,-68.1667,
660,Paita,PE,81.16,Overcast Clouds,-5.0892,-81.1144,Hotel Náutico de Paita
662,Bengkulu,ID,76.78,Overcast Clouds,-3.8004,102.2655,Grage Hotel Bengkulu
675,Cairns,AU,78.75,Scattered Clouds,-16.9167,145.7667,Mantra Trilogy Cairns
676,Mvangue,CM,85.71,Few Clouds,2.9667,11.5167,
682,Pilar,BR,87.73,Broken Clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
683,Jutai,BR,84.9,Overcast Clouds,-5.1833,-68.9,
