City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
74,Port Elizabeth,ZA,-33.918,25.5701,77.29,83,0,17.27,Clear Sky
75,Tianpeng,CN,30.9866,103.9393,41.47,81,100,3.44,Overcast Clouds
76,Rikitea,PF,-23.1203,-134.9692,78.71,72,38,16.31,Scattered Clouds
77,Helsinki,FI,60.1695,24.9355,33.12,84,0,12.66,Clear Sky
78,Bluff,NZ,-46.6,168.3333,51.8,64,80,14.92,Broken Clouds
79,Flinders,AU,-34.5833,150.8552,65.21,93,97,4.0,Overcast Clouds
80,Tasiilaq,GL,65.6145,-37.6368,12.36,64,100,2.73,Overcast Clouds
81,Atuona,PF,-9.8,-139.0333,77.31,78,10,14.56,Light Rain
82,Salair,RU,54.2312,85.7972,-8.59,100,17,1.03,Few Clouds
83,Quatre Cocos,MU,-20.2078,57.7625,80.71,81,61,8.12,Light Rain
84,Port Hedland,AU,-20.3167,118.5667,84.25,89,49,2.3,Scattered Clouds
85,Chokurdakh,RU,70.6333,147.9167,-1.98,95,100,13.78,Overcast Clouds
86,Busselton,AU,-33.65,115.3333,58.08,69,0,14.09,Clear Sky
87,Saint Anthony,US,45.0205,-93.218,0.79,67,0,5.75,Clear Sky
88,Roma,US,43.2128,-75.4557,42.66,72,100,11.01,Overcast Clouds
89,Shimoda,JP,34.6667,138.95,48.25,66,97,2.26,Overcast Clouds
90,Wukari,NG,7.85,9.7833,94.23,8,51,5.46,Broken Clouds
91,Cherskiy,RU,68.75,161.3,-23.37,98,100,9.31,Overcast Clouds
92,Suntar,RU,62.1444,117.6319,-24.02,100,94,3.02,Overcast Clouds
93,San Quintin,MX,30.4833,-115.95,70.7,31,3,2.48,Clear Sky
94,Clarence Town,AU,-32.5833,151.7833,70.86,78,89,1.66,Overcast Clouds
95,Tessalit,ML,20.1986,1.0114,81.21,8,50,12.12,Scattered Clouds
96,East London,ZA,-33.0153,27.9116,81.54,78,0,12.66,Clear Sky
97,Bambous Virieux,MU,-20.3428,57.7575,80.85,78,40,1.14,Scattered Clouds
98,Saint-Leu,RE,-21.15,55.2833,77.86,74,20,2.98,Few Clouds
99,Coquimbo,CL,-29.9533,-71.3436,69.53,68,20,10.36,Few Clouds
100,Leesburg,US,39.1157,-77.5636,57.88,58,40,14.97,Scattered Clouds
101,Ponta Do Sol,PT,32.6667,-17.1,68.72,69,17,3.83,Few Clouds
102,Lebu,CL,-37.6167,-73.65,68.86,55,6,13.18,Clear Sky
103,Boende,CD,-0.2167,20.8667,88.12,38,86,3.24,Overcast Clouds
104,Road Town,VG,18.4167,-64.6167,82.49,78,40,10.36,Scattered Clouds
105,Kota Kinabalu,MY,5.9749,116.0724,75.18,100,20,0.0,Few Clouds
106,Vrangel,RU,42.7297,133.0839,17.98,58,0,10.98,Clear Sky
107,Tukrah,LY,32.5341,20.5791,54.66,64,14,6.73,Few Clouds
108,Cabo San Lucas,MX,22.8909,-109.9124,71.91,40,20,0.0,Few Clouds
109,Faanui,PF,-16.4833,-151.75,79.74,76,80,13.13,Light Rain
110,San Patricio,US,28.017,-97.5169,66.02,61,13,20.15,Few Clouds
111,Nikolskoye,RU,59.7035,30.7861,34.88,97,100,12.44,Snow
112,Hamilton,US,39.1834,-84.5333,32.63,80,100,11.5,Overcast Clouds
113,Port Alfred,ZA,-33.5906,26.891,77.31,89,7,15.23,Clear Sky
114,Upernavik,GL,72.7868,-56.1549,-4.85,98,100,15.05,Overcast Clouds
115,Kaitangata,NZ,-46.2817,169.8464,51.93,66,100,10.4,Overcast Clouds
116,Tiksi,RU,71.6872,128.8694,-9.36,91,93,17.36,Overcast Clouds
117,Kodiak,US,57.79,-152.4072,38.71,65,0,10.36,Clear Sky
118,Qaanaaq,GL,77.484,-69.3632,-20.61,48,0,9.15,Clear Sky
119,Jaynagar-Majilpur,IN,22.1758,88.4178,70.05,39,38,7.18,Scattered Clouds
120,Bandarbeyla,SO,9.4942,50.8122,76.86,61,41,13.13,Scattered Clouds
121,Vila,PT,42.0304,-8.1588,50.74,76,75,3.58,Broken Clouds
122,Souillac,MU,-20.5167,57.5167,80.98,78,40,1.14,Scattered Clouds
123,San Cristobal,VE,7.7669,-72.225,75.38,39,96,8.28,Overcast Clouds
124,Yanam,IN,16.7333,82.2167,73.27,84,11,5.08,Few Clouds
125,Bull Savanna,JM,17.8868,-77.5902,81.72,61,2,16.2,Clear Sky
126,Abu Samrah,SY,35.3029,37.1841,51.96,59,0,5.14,Clear Sky
127,Rock Sound,BS,24.9,-76.2,77.27,78,5,12.84,Clear Sky
128,Adeje,ES,28.1227,-16.726,69.31,76,20,12.66,Few Clouds
129,Sao Filipe,CV,14.8961,-24.4956,79.93,45,91,17.52,Overcast Clouds
130,Mitoc,RO,48.1,27.0333,41.09,69,67,11.5,Broken Clouds
